,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ICV271,-0.016788399,-0.0018453915,0.009808962,0.05323723,0.010414362,0.061557353,-0.043531038,-0.02317012,-0.00505892,-0.037015922,-0.08907449,-0.04489869,0.08775143,-0.08265254,-0.026629774,0.006536428,0.056822415,-0.071334064,0.07022813,0.046130054,0.008458728,-0.040902875,-0.0016480107,0.008097621,0.08607916,-0.00462991,-0.06998573,0.005826112,0.036767993,0.021514604,-0.039572686,-0.046660706
ICV680,-0.013464835,-0.0064625144,0.005353694,0.054503363,0.008098053,0.060228985,-0.04397471,-0.0259679,-0.0034750607,-0.03450936,-0.085151255,-0.04708922,0.09076935,-0.08416653,-0.030398326,0.004927272,0.058740776,-0.07102338,0.06738733,0.04701351,0.013316243,-0.041987214,-0.00035471842,0.0053899996,0.08976371,-0.003390193,-0.07651809,-0.0021843985,0.036037598,0.019021379,-0.04042407,-0.04678884
ICV90,-0.014332438,0.0069640996,0.00677992,0.054840833,0.013956754,0.0690224,-0.04363723,-0.02650345,-0.005411407,-0.039124325,-0.09102466,-0.04969745,0.08452029,-0.081808284,-0.028551914,0.009214107,0.058758,-0.0725146,0.07181637,0.04488804,0.00892372,-0.039360784,0.0022769272,0.006858293,0.08915461,0.0021000206,-0.061753213,0.009867415,0.032415994,0.027169446,-0.04030196,-0.045940403
ICV91,-0.008616424,-0.0032131802,0.008833173,0.058905706,0.011522738,0.06174425,-0.043764498,-0.027893651,-0.0058303233,-0.029019728,-0.091782674,-0.039480247,0.08898795,-0.08313939,-0.03061731,-0.003275156,0.05706042,-0.07625291,0.07201623,0.04631418,0.0110284835,-0.046562932,-0.0037475098,0.0028523216,0.08269764,-0.004179314,-0.06777898,0.00012689829,0.03444721,0.015700385,-0.04274066,-0.04883279
ICV390,-0.00396169,0.00062986277,0.010509817,0.054924767,-0.011580039,0.045764394,-0.051318195,-0.011889361,0.016417997,-0.026486043,-0.08993191,-0.04688853,0.0999732,-0.08221525,-0.015011511,-0.019621916,0.045057617,-0.090064324,0.06995492,0.042593792,0.021890983,-0.06965829,-0.014626863,-0.0019164644,0.09178312,-0.007775642,-0.0840329,0.015247278,0.027331237,0.0013582166,-0.03908839,-0.03690147
ICV794,-0.007595525,-0.008188376,0.0068544103,0.054430094,0.0095559135,0.067494184,-0.04457576,-0.02566382,-0.0064992523,-0.0315338,-0.08968602,-0.048311997,0.09328492,-0.08049135,-0.026136165,0.0075337104,0.056386832,-0.06886658,0.07151776,0.04251596,0.01631732,-0.043847047,-6.543659e-05,0.00074871536,0.0874983,-0.00939846,-0.077471234,-0.009072963,0.037477024,0.018469928,-0.044962768,-0.043174803
ICV234,-0.011058573,-0.0006940197,0.0043961923,0.053542454,0.01845698,0.06731236,-0.03797131,-0.036991116,-0.012937751,-0.032768786,-0.09009153,-0.04905113,0.085197136,-0.080675066,-0.033603735,0.020832669,0.057642564,-0.06904593,0.07283324,0.04438556,0.011316566,-0.03855931,0.0012772605,0.008464554,0.085647896,-0.0069367513,-0.06525599,-0.0010085031,0.038300656,0.029543255,-0.04978689,-0.050522044
ICV42,-0.008771125,-0.00013390929,0.00804674,0.060588397,0.011512412,0.064583726,-0.045748413,-0.026199495,0.0012295451,-0.02896367,-0.09034967,-0.042282127,0.099532485,-0.080608584,-0.022501487,0.0011926368,0.05957126,-0.07709123,0.07595369,0.045311198,0.01749858,-0.048419923,-0.010564502,0.00043312088,0.084236786,-0.011236906,-0.072123654,-0.003690865,0.028757762,0.010733397,-0.040938713,-0.036784634
ICV146,-0.005921189,0.00020751357,0.005114139,0.053455792,-0.0021144226,0.056981035,-0.051437087,-0.014709112,-0.012828982,-0.034555793,-0.091398515,-0.04991378,0.09534157,-0.08260698,-0.019197121,0.0022234675,0.052405152,-0.07828672,0.066372275,0.040246215,0.0105354125,-0.05068159,-0.008072568,-0.0016130703,0.08753065,-0.0036191717,-0.07524808,0.0040277727,0.030823221,0.012971876,-0.046444885,-0.04163701
ICV63,-0.014796722,0.0036913995,0.009833103,0.051808458,0.015697226,0.06314929,-0.04786587,-0.024328232,-0.0076751523,-0.0351332,-0.08862945,-0.039069586,0.09580612,-0.08873244,-0.030708719,0.005333679,0.059282564,-0.07540335,0.06836046,0.042224422,0.00503002,-0.038539793,-0.008365177,0.008882731,0.089686766,-0.0006714761,-0.06520344,0.0011061318,0.0333367,0.01750476,-0.035147637,-0.042749725
